startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
2007,,,,,,,,,Colaboración con la Ley de Memoria Histórica,,,,,,,,https://www.aranzadi.eus/assets/img/pages/proposito-aranzadi-1.jpg,
2009,,,,,,,,,Investigación en la Cueva de La Pasiega (Cantabria),,,,,,,,https://www.ruralia.com/uploads/7jqloiuqhflu0lkob92j.jpg,
2009,,,,,,,,,Proyecto sobre la conservación de especies en peligro de extinción,,,,,,,,https://www.aranzadi.eus/assets/img/pages/6.jpg,
2010,,,,,,,,,Exhumación de la fosa común de Cañada Real (Madrid),,,,,,,,https://www.publico.es/files/image_horizontal_mobile/uploads/2024/11/20/673e0d9420a3c.jpeg,
2011,,,,,,,,,Incorporación de la genética forense en los procesos de identificación,,,,,,,,https://kgnawstmediaspublicpro.blob.core.windows.net/medias/0022533_patologia-y-biologia-forense_550.png,
2012,,,,,,,,,Exhumación de la fosa común de Fran en Cuelgamuros (San Lorenzo de El Escorial),,,,,,,,https://estaticosgn-cdn.deia.eus/clip/4b3e98f5-7264-4be7-a150-7ea6f909cc79_16-9-discover-aspect-ratio_default_0.jpg,
2012,,,,,,,,,Inauguración del Urdaibai Bird Center (Ornitología),,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Urdaibai_Bird_Center_03_paisaia.jpg/800px-Urdaibai_Bird_Center_03_paisaia.jpg,
2013,,,,,,,,,"Publicación del ""Informe Aranzadi"" sobre las fosas comunes de la Guerra Civil",,,,,,,,https://www.aranzadi.eus/assets/img/pages/1548255316HERNANI.JPG,
2014,,,,,,,,,Exhumación de la fosa común de El Rotro (Guadalajara),,,,,,,,https://memoriahistorica.org.es/wp-content/uploads/2020/10/AMP_7720-624x416.jpg,
2015,,,,,,,,,Trabajo en el yancimiento de la Cueva de la Cerdanya (Girona),,,,,,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjm257L2ipqWZHoapkwf5QAslcplHInk4zSh8lQTcVYGarVI_kEU8pQAGBVqbpQ3tOS39iUl2-Md_roTxUCIddGUl-ExSoJTbI-WMTXXjBc3aL554pGDdG-J5HYk9QKOyedVWKvSou3HcY/s1600/CUEVA+SONY+010.JPG,
2016,,,,,,,,,Colaboración con el proyecto de memoria histórica en el País Vasco,,,,,,,,https://www.aranzadi.eus/assets/img/pages/15075489551.JPG,
2017,,,,,,,,,Exhumación de la fosa común de Cantilla-La Mancha (Campo de Montiel),,,,,,,,https://estaticosgn-cdn.deia.eus/clip/5627585b-0df0-49b0-a8be-2d4188398238_16-9-aspect-ratio_default_0.jpg,
2018,,,,,,,,,Conservación del Patrimonio Natural: Proyecto sobre el ecosistema de los bosques de Urdaibai,,,,,,,,https://www.aranzadi.eus/assets/img/pages/unnamed-3-230601132329.jpg,
2019,,,,,,,,,Exhumación de la fosa común de Valencia (Alcásser),,,,,,,,https://efe.com/wp-content/uploads/2022/11/alcasser.jpg,
2021,,,,,,,,,"Se profundizó en estudios de fauna, particularmente en ornitología y biodiversidad",,,,,,,,https://www.aranzadi.eus/assets/img/pages/img-5981.jpg,
2022,,,,,,,,,75 aniversario de la Sociedad de Ciencias Aranzadi,,,,,,,,https://www.aranzadi.eus/assets/img/pages/anillamiento-foto-familia-2-edit-1-1-1.jpg,
2022,,,,,,,,,"Descubrimiento de la ""Mano de Irulegi""",,,,,,,,https://www.diariodenavarra.es/uploads/2022/11/14/63723030c15ff.jpeg,
2023,,,,2024,,,,,Se ha continuado trabajando en el ámbito de la memoria histórica,,,,,,,,https://www.aranzadi.eus/assets/img/pages/para-web-goiaotamendi-221215090420.jpg,
